relativeTimestamp,absoluteTimestamp,value
0.0,2018-11-25T19:15:50Z,211.0
10.0,2018-11-25T19:16:00Z,234.0
20.0,2018-11-25T19:16:10Z,136.0
30.0,2018-11-25T19:16:20Z,0.0
40.0,2018-11-25T19:16:30Z,0.0
50.0,2018-11-25T19:16:40Z,0.0
60.0,2018-11-25T19:16:50Z,3.0
70.0,2018-11-25T19:17:00Z,0.0
80.0,2018-11-25T19:17:10Z,5.0
90.0,2018-11-25T19:17:20Z,0.0
100.0,2018-11-25T19:17:30Z,4.0
110.0,2018-11-25T19:17:40Z,2.0
120.0,2018-11-25T19:17:50Z,0.0
130.0,2018-11-25T19:18:00Z,2806.0
140.0,2018-11-25T19:18:10Z,5.0
150.0,2018-11-25T19:18:20Z,0.0
160.0,2018-11-25T19:18:30Z,0.0
170.0,2018-11-25T19:18:40Z,0.0
180.0,2018-11-25T19:18:50Z,2.0
190.0,2018-11-25T19:19:00Z,5.0
200.0,2018-11-25T19:19:10Z,0.0
210.0,2018-11-25T19:19:20Z,0.0
220.0,2018-11-25T19:19:30Z,0.0
230.0,2018-11-25T19:19:40Z,0.0
240.0,2018-11-25T19:19:50Z,0.0
250.0,2018-11-25T19:20:00Z,522.0
260.0,2018-11-25T19:20:10Z,4.0
270.0,2018-11-25T19:20:20Z,23.0
280.0,2018-11-25T19:20:30Z,207.0
290.0,2018-11-25T19:20:40Z,0.0
300.0,2018-11-25T19:20:50Z,5.0
310.0,2018-11-25T19:21:00Z,0.0
320.0,2018-11-25T19:21:10Z,0.0
330.0,2018-11-25T19:21:20Z,0.0
340.0,2018-11-25T19:21:30Z,5.0
350.0,2018-11-25T19:21:40Z,0.0
360.0,2018-11-25T19:21:50Z,21.0
370.0,2018-11-25T19:22:00Z,0.0
380.0,2018-11-25T19:22:10Z,54.0
390.0,2018-11-25T19:22:20Z,751.0
400.0,2018-11-25T19:22:30Z,8.0
410.0,2018-11-25T19:22:40Z,9.0
420.0,2018-11-25T19:22:50Z,8.0
430.0,2018-11-25T19:23:00Z,0.0
440.0,2018-11-25T19:23:10Z,0.0
450.0,2018-11-25T19:23:20Z,3.0
460.0,2018-11-25T19:23:30Z,0.0
470.0,2018-11-25T19:23:40Z,1856.0
480.0,2018-11-25T19:23:50Z,1.0
490.0,2018-11-25T19:24:00Z,2.0
500.0,2018-11-25T19:24:10Z,3.0
510.0,2018-11-25T19:24:20Z,0.0
520.0,2018-11-25T19:24:30Z,0.0
530.0,2018-11-25T19:24:40Z,9.0
540.0,2018-11-25T19:24:50Z,0.0
550.0,2018-11-25T19:25:00Z,0.0
560.0,2018-11-25T19:25:10Z,5.0
570.0,2018-11-25T19:25:20Z,7.0
580.0,2018-11-25T19:25:30Z,9.0
590.0,2018-11-25T19:25:40Z,6.0
600.0,2018-11-25T19:25:50Z,0.0
610.0,2018-11-25T19:26:00Z,1.0
620.0,2018-11-25T19:26:10Z,0.0
630.0,2018-11-25T19:26:20Z,1928.0
640.0,2018-11-25T19:26:30Z,7390.0
650.0,2018-11-25T19:26:40Z,11072.0
660.0,2018-11-25T19:26:50Z,6611.0
670.0,2018-11-25T19:27:00Z,1795.0
680.0,2018-11-25T19:27:10Z,4433.0
690.0,2018-11-25T19:27:20Z,3422.0
700.0,2018-11-25T19:27:30Z,6894.0
710.0,2018-11-25T19:27:40Z,10231.0
720.0,2018-11-25T19:27:50Z,3591.0
730.0,2018-11-25T19:28:00Z,1515.0
740.0,2018-11-25T19:28:10Z,1471.0
750.0,2018-11-25T19:28:20Z,1849.0
760.0,2018-11-25T19:28:30Z,11577.0
770.0,2018-11-25T19:28:40Z,7463.0
780.0,2018-11-25T19:28:50Z,2103.0
