relativeTimestamp,absoluteTimestamp,value
0.0,2018-11-25T22:46:20Z,7650.5
10.0,2018-11-25T22:46:30Z,3094.5
20.0,2018-11-25T22:46:40Z,306.0
30.0,2018-11-25T22:46:50Z,7.0
40.0,2018-11-25T22:47:00Z,297.0
50.0,2018-11-25T22:47:10Z,984.5
60.0,2018-11-25T22:47:20Z,6217.0
70.0,2018-11-25T22:47:30Z,7359.5
80.0,2018-11-25T22:47:40Z,7381.0
90.0,2018-11-25T22:47:50Z,7593.0
100.0,2018-11-25T22:48:00Z,6539.5
110.0,2018-11-25T22:48:10Z,7811.0
120.0,2018-11-25T22:48:20Z,7156.5
130.0,2018-11-25T22:48:30Z,6997.0
140.0,2018-11-25T22:48:40Z,7847.5
150.0,2018-11-25T22:48:50Z,7239.5
160.0,2018-11-25T22:49:00Z,6839.5
170.0,2018-11-25T22:49:10Z,6951.0
180.0,2018-11-25T22:49:20Z,7096.0
190.0,2018-11-25T22:49:30Z,6608.5
200.0,2018-11-25T22:49:40Z,7856.5
210.0,2018-11-25T22:49:50Z,8406.0
220.0,2018-11-25T22:50:00Z,8688.0
230.0,2018-11-25T22:50:10Z,7154.0
240.0,2018-11-25T22:50:20Z,8209.5
250.0,2018-11-25T22:50:30Z,7419.0
260.0,2018-11-25T22:50:40Z,7398.0
270.0,2018-11-25T22:50:50Z,7476.5
280.0,2018-11-25T22:51:00Z,7193.5
290.0,2018-11-25T22:51:10Z,8098.0
300.0,2018-11-25T22:51:20Z,7125.0
310.0,2018-11-25T22:51:30Z,7668.0
320.0,2018-11-25T22:51:40Z,7749.5
330.0,2018-11-25T22:51:50Z,7391.5
340.0,2018-11-25T22:52:00Z,7858.5
350.0,2018-11-25T22:52:10Z,8079.5
360.0,2018-11-25T22:52:20Z,7644.0
370.0,2018-11-25T22:52:30Z,7886.0
380.0,2018-11-25T22:52:40Z,7539.5
390.0,2018-11-25T22:52:50Z,8408.5
400.0,2018-11-25T22:53:00Z,7241.0
410.0,2018-11-25T22:53:10Z,7650.5
420.0,2018-11-25T22:53:20Z,7323.5
430.0,2018-11-25T22:53:30Z,7893.0
440.0,2018-11-25T22:53:40Z,6851.0
450.0,2018-11-25T22:53:50Z,7030.0
460.0,2018-11-25T22:54:00Z,8036.0
470.0,2018-11-25T22:54:10Z,8112.5
480.0,2018-11-25T22:54:20Z,7758.5
490.0,2018-11-25T22:54:30Z,7893.0
500.0,2018-11-25T22:54:40Z,7854.5
510.0,2018-11-25T22:54:50Z,7358.0
520.0,2018-11-25T22:55:00Z,6802.5
530.0,2018-11-25T22:55:10Z,7496.5
540.0,2018-11-25T22:55:20Z,7347.0
550.0,2018-11-25T22:55:30Z,7791.0
560.0,2018-11-25T22:55:40Z,7929.0
570.0,2018-11-25T22:55:50Z,6727.0
580.0,2018-11-25T22:56:00Z,7899.0
590.0,2018-11-25T22:56:10Z,6489.0
600.0,2018-11-25T22:56:20Z,6836.0
610.0,2018-11-25T22:56:30Z,6376.0
620.0,2018-11-25T22:56:40Z,6483.0
630.0,2018-11-25T22:56:50Z,7520.5
640.0,2018-11-25T22:57:00Z,6505.5
650.0,2018-11-25T22:57:10Z,5900.0
660.0,2018-11-25T22:57:20Z,6300.0
670.0,2018-11-25T22:57:30Z,6972.5
680.0,2018-11-25T22:57:40Z,7668.0
690.0,2018-11-25T22:57:50Z,7315.0
700.0,2018-11-25T22:58:00Z,7749.0
710.0,2018-11-25T22:58:10Z,7178.5
720.0,2018-11-25T22:58:20Z,6757.5
730.0,2018-11-25T22:58:30Z,8079.5
740.0,2018-11-25T22:58:40Z,7057.5
750.0,2018-11-25T22:58:50Z,7223.0
760.0,2018-11-25T22:59:00Z,8140.0
770.0,2018-11-25T22:59:10Z,7309.0
780.0,2018-11-25T22:59:20Z,7223.0
790.0,2018-11-25T22:59:30Z,7347.0
800.0,2018-11-25T22:59:40Z,7152.5
810.0,2018-11-25T22:59:50Z,6311.5
820.0,2018-11-25T23:00:00Z,7835.5
830.0,2018-11-25T23:00:10Z,7684.5
840.0,2018-11-25T23:00:20Z,7750.5
850.0,2018-11-25T23:00:30Z,7175.0
860.0,2018-11-25T23:00:40Z,8363.5
870.0,2018-11-25T23:00:50Z,7365.0
880.0,2018-11-25T23:01:00Z,7760.0
890.0,2018-11-25T23:01:10Z,8123.5
900.0,2018-11-25T23:01:20Z,8079.5
910.0,2018-11-25T23:01:30Z,8115.5
920.0,2018-11-25T23:01:40Z,7089.5
930.0,2018-11-25T23:01:50Z,6895.5
940.0,2018-11-25T23:02:00Z,7730.5
950.0,2018-11-25T23:02:10Z,7870.0
960.0,2018-11-25T23:02:20Z,7802.5
970.0,2018-11-25T23:02:30Z,7242.0
980.0,2018-11-25T23:02:40Z,7514.5
990.0,2018-11-25T23:02:50Z,7924.0
1000.0,2018-11-25T23:03:00Z,7134.5
1010.0,2018-11-25T23:03:10Z,6549.5
1020.0,2018-11-25T23:03:20Z,6710.0
1030.0,2018-11-25T23:03:30Z,8308.0
1040.0,2018-11-25T23:03:40Z,8027.0
1050.0,2018-11-25T23:03:50Z,6584.5
1060.0,2018-11-25T23:04:00Z,7504.0
1070.0,2018-11-25T23:04:10Z,6463.0
1080.0,2018-11-25T23:04:20Z,7609.5
1090.0,2018-11-25T23:04:30Z,7973.5
1100.0,2018-11-25T23:04:40Z,7299.5
